0 000 --- --- --- --- 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
35 000 006 005 004 003 000000C8 00000005 00000005 00000005 00000005 00000005 00000005 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
36 001 000 006 005 004 00000001 00000006 00000005 00000005 00000005 00000005 00000005 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
37 002 001 000 006 005 00000001 00000006 00000006 00000005 00000005 00000005 00000005 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
38 003 002 001 000 006 00000001 00000006 00000006 00000006 00000005 00000005 00000005 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
39 004 003 002 001 000 00000001 00000006 00000006 00000006 00000006 00000005 00000005 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
40 005 004 003 002 001 00000001 00000006 00000006 00000006 00000006 00000006 00000005 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
41 006 005 004 003 002 00000001 00000006 00000006 00000006 00000006 00000006 00000006 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
42 000 006 005 004 003 000000C8 00000006 00000006 00000006 00000006 00000006 00000006 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
43 001 000 006 005 004 00000001 00000007 00000006 00000006 00000006 00000006 00000006 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
44 002 001 000 006 005 00000001 00000007 00000007 00000006 00000006 00000006 00000006 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
45 003 002 001 000 006 00000001 00000007 00000007 00000007 00000006 00000006 00000006 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
46 004 003 002 001 000 00000001 00000007 00000007 00000007 00000007 00000006 00000006 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
47 005 004 003 002 001 00000001 00000007 00000007 00000007 00000007 00000007 00000006 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
48 006 005 004 003 002 00000001 00000007 00000007 00000007 00000007 00000007 00000007 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
49 000 006 005 004 003 000000C8 00000007 00000007 00000007 00000007 00000007 00000007 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
50 001 000 006 005 004 00000001 00000008 00000007 00000007 00000007 00000007 00000007 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
51 002 001 000 006 005 00000001 00000008 00000008 00000007 00000007 00000007 00000007 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
52 003 002 001 000 006 00000001 00000008 00000008 00000008 00000007 00000007 00000007 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
53 004 003 002 001 000 00000001 00000008 00000008 00000008 00000008 00000007 00000007 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
54 005 004 003 002 001 00000001 00000008 00000008 00000008 00000008 00000008 00000007 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
55 006 005 004 003 002 00000001 00000008 00000008 00000008 00000008 00000008 00000008 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
56 000 006 005 004 003 000000C8 00000008 00000008 00000008 00000008 00000008 00000008 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
57 001 000 006 005 004 00000001 00000009 00000008 00000008 00000008 00000008 00000008 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
58 002 001 000 006 005 00000001 00000009 00000009 00000008 00000008 00000008 00000008 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
59 003 002 001 000 006 00000001 00000009 00000009 00000009 00000008 00000008 00000008 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
60 004 003 002 001 000 00000001 00000009 00000009 00000009 00000009 00000008 00000008 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
61 005 004 003 002 001 00000001 00000009 00000009 00000009 00000009 00000009 00000008 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
62 006 005 004 003 002 00000001 00000009 00000009 00000009 00000009 00000009 00000009 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
63 000 006 005 004 003 000000C8 00000009 00000009 00000009 00000009 00000009 00000009 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
64 001 000 006 005 004 00000001 0000000A 00000009 00000009 00000009 00000009 00000009 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
65 002 001 000 006 005 00000001 0000000A 0000000A 00000009 00000009 00000009 00000009 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
66 003 002 001 000 006 00000001 0000000A 0000000A 0000000A 00000009 00000009 00000009 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
67 004 003 002 001 000 00000001 0000000A 0000000A 0000000A 0000000A 00000009 00000009 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
68 005 004 003 002 001 00000001 0000000A 0000000A 0000000A 0000000A 0000000A 00000009 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
69 006 005 004 003 002 00000001 0000000A 0000000A 0000000A 0000000A 0000000A 0000000A 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
70 000 006 005 004 003 000000C8 0000000A 0000000A 0000000A 0000000A 0000000A 0000000A 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
71 001 000 006 005 004 00000001 0000000B 0000000A 0000000A 0000000A 0000000A 0000000A 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
72 002 001 000 006 005 00000001 0000000B 0000000B 0000000A 0000000A 0000000A 0000000A 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
73 003 002 001 000 006 00000001 0000000B 0000000B 0000000B 0000000A 0000000A 0000000A 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
74 004 003 002 001 000 00000001 0000000B 0000000B 0000000B 0000000B 0000000A 0000000A 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
75 005 004 003 002 001 00000001 0000000B 0000000B 0000000B 0000000B 0000000B 0000000A 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
76 006 005 004 003 002 00000001 0000000B 0000000B 0000000B 0000000B 0000000B 0000000B 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
77 000 006 005 004 003 000000C8 0000000B 0000000B 0000000B 0000000B 0000000B 0000000B 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
78 001 000 006 005 004 00000001 0000000C 0000000B 0000000B 0000000B 0000000B 0000000B 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
79 002 001 000 006 005 00000001 0000000C 0000000C 0000000B 0000000B 0000000B 0000000B 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
80 003 002 001 000 006 00000001 0000000C 0000000C 0000000C 0000000B 0000000B 0000000B 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
81 004 003 002 001 000 00000001 0000000C 0000000C 0000000C 0000000C 0000000B 0000000B 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
82 005 004 003 002 001 00000001 0000000C 0000000C 0000000C 0000000C 0000000C 0000000B 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
83 006 005 004 003 002 00000001 0000000C 0000000C 0000000C 0000000C 0000000C 0000000C 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
84 000 006 005 004 003 000000C8 0000000C 0000000C 0000000C 0000000C 0000000C 0000000C 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
85 001 000 006 005 004 00000001 0000000D 0000000C 0000000C 0000000C 0000000C 0000000C 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
86 002 001 000 006 005 00000001 0000000D 0000000D 0000000C 0000000C 0000000C 0000000C 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
87 003 002 001 000 006 00000001 0000000D 0000000D 0000000D 0000000C 0000000C 0000000C 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
88 004 003 002 001 000 00000001 0000000D 0000000D 0000000D 0000000D 0000000C 0000000C 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
89 005 004 003 002 001 00000001 0000000D 0000000D 0000000D 0000000D 0000000D 0000000C 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
90 006 005 004 003 002 00000001 0000000D 0000000D 0000000D 0000000D 0000000D 0000000D 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
91 000 006 005 004 003 000000C8 0000000D 0000000D 0000000D 0000000D 0000000D 0000000D 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
92 001 000 006 005 004 00000001 0000000E 0000000D 0000000D 0000000D 0000000D 0000000D 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
93 002 001 000 006 005 00000001 0000000E 0000000E 0000000D 0000000D 0000000D 0000000D 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
94 003 002 001 000 006 00000001 0000000E 0000000E 0000000E 0000000D 0000000D 0000000D 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
